"rules","support","confidence","lift","count"
"{} => {bottled water}",0.110523640061007,0.110523640061007,1,1087
"{} => {tropical fruit}",0.10493136756482,0.10493136756482,1,1032
"{} => {root vegetables}",0.108998474834774,0.108998474834774,1,1072
"{} => {soda}",0.174377224199288,0.174377224199288,1,1715
"{} => {yogurt}",0.139501779359431,0.139501779359431,1,1372
"{} => {rolls/buns}",0.183934926283681,0.183934926283681,1,1809
"{} => {other vegetables}",0.193492628368073,0.193492628368073,1,1903
"{} => {whole milk}",0.255516014234875,0.255516014234875,1,2513
"{hard cheese} => {whole milk}",0.0100660904931368,0.410788381742739,1.6076815497174,99
"{butter milk} => {other vegetables}",0.0103711235383833,0.370909090909091,1.9169158744566,102
"{butter milk} => {whole milk}",0.0115912557193696,0.414545454545455,1.62238541402887,114
"{ham} => {whole milk}",0.0114895780376207,0.44140625,1.72750913997214,113
"{sliced cheese} => {whole milk}",0.0107778342653787,0.439834024896266,1.72135600272772,106
"{oil} => {whole milk}",0.011286222674123,0.402173913043478,1.57396754269105,111
"{onions} => {other vegetables}",0.0142348754448399,0.459016393442623,2.37226811850142,140
"{onions} => {whole milk}",0.0120996441281139,0.390163934426229,1.52696470158455,119
"{berries} => {yogurt}",0.010574478901881,0.318042813455657,2.27984771890408,104
"{berries} => {other vegetables}",0.0102694458566345,0.308868501529052,1.59628045850669,101
"{berries} => {whole milk}",0.0117946110828673,0.35474006116208,1.38832809452012,116
"{hamburger meat} => {other vegetables}",0.0138281647178444,0.415902140672783,2.14944695402881,136
"{hamburger meat} => {whole milk}",0.0147432638535841,0.443425076452599,1.73541011815015,145
"{hygiene articles} => {whole milk}",0.0128113879003559,0.388888888888889,1.52197462086041,126
"{salty snack} => {other vegetables}",0.0107778342653787,0.28494623655914,1.47264647218032,106
"{salty snack} => {whole milk}",0.0111845449923742,0.295698924731183,1.15726180848833,110
"{sugar} => {other vegetables}",0.0107778342653787,0.318318318318318,1.64511858153477,106
"{sugar} => {whole milk}",0.0150482968988307,0.444444444444444,1.73939956669762,148
"{waffles} => {other vegetables}",0.0100660904931368,0.261904761904762,1.35356454720617,99
"{waffles} => {whole milk}",0.012709710218607,0.330687830687831,1.29419610617382,125
"{long life bakery product} => {other vegetables}",0.0106761565836299,0.285326086956522,1.47460959811739,105
"{long life bakery product} => {whole milk}",0.0135231316725979,0.361413043478261,1.41444380525615,133
"{dessert} => {other vegetables}",0.0115912557193696,0.312328767123288,1.61416364932083,114
"{dessert} => {whole milk}",0.0137264870360956,0.36986301369863,1.44751402297096,135
"{canned beer} => {shopping bags}",0.0113879003558719,0.146596858638743,1.48790516482151,112
"{shopping bags} => {canned beer}",0.0113879003558719,0.115583075335397,1.48790516482151,112
"{canned beer} => {soda}",0.0138281647178444,0.178010471204188,1.02083555935463,136
"{canned beer} => {rolls/buns}",0.011286222674123,0.145287958115183,0.789887820930253,111
"{cream cheese } => {yogurt}",0.0124046771733604,0.312820512820513,2.24241234955521,122
"{cream cheese } => {other vegetables}",0.0137264870360956,0.346153846153846,1.78897691903472,135
"{cream cheese } => {whole milk}",0.0164717844433147,0.415384615384615,1.62566959502893,162
"{chicken} => {root vegetables}",0.0108795119471276,0.253554502369668,2.32622064440829,107
"{chicken} => {other vegetables}",0.0178952719877987,0.417061611374408,2.15543927896337,176
"{chicken} => {whole milk}",0.0175902389425521,0.409952606635071,1.6044106192821,173
"{white bread} => {soda}",0.0102694458566345,0.243961352657005,1.39904367544119,101
"{white bread} => {other vegetables}",0.0137264870360956,0.326086956521739,1.68526811213416,135
"{white bread} => {whole milk}",0.0170818505338078,0.405797101449275,1.58814743046304,168
"{chocolate} => {soda}",0.0135231316725979,0.272540983606557,1.56293911007026,133
"{chocolate} => {rolls/buns}",0.0117946110828673,0.237704918032787,1.29233160246128,116
"{chocolate} => {other vegetables}",0.012709710218607,0.256147540983607,1.32381033398517,125
"{chocolate} => {whole milk}",0.0166751398068124,0.336065573770492,1.31524270514635,164
"{coffee} => {rolls/buns}",0.0109811896288765,0.189141856392294,1.02830854484147,108
"{coffee} => {other vegetables}",0.013421453990849,0.231173380035026,1.19473998562506,132
"{coffee} => {whole milk}",0.0187086934417895,0.322241681260946,1.2611408417037,184
"{frozen vegetables} => {root vegetables}",0.0115912557193696,0.241014799154334,2.2111758858982,114
"{root vegetables} => {frozen vegetables}",0.0115912557193696,0.10634328358209,2.2111758858982,114
"{frozen vegetables} => {yogurt}",0.0124046771733604,0.257928118393235,1.84892350174742,122
"{frozen vegetables} => {rolls/buns}",0.0101677681748856,0.211416490486258,1.14940916745846,100
"{frozen vegetables} => {other vegetables}",0.0177935943060498,0.369978858350951,1.91210828790416,175
"{frozen vegetables} => {whole milk}",0.0204372140315201,0.424947145877378,1.66309398316913,201
"{beef} => {root vegetables}",0.0173868835790544,0.331395348837209,3.04036684311003,171
"{root vegetables} => {beef}",0.0173868835790544,0.159514925373134,3.04036684311003,171
"{beef} => {yogurt}",0.0116929334011185,0.222868217054264,1.59760124980225,115
"{beef} => {rolls/buns}",0.0136248093543467,0.25968992248062,1.41185759402814,134
"{beef} => {other vegetables}",0.0197254702592781,0.375968992248062,1.94306623161308,194
"{other vegetables} => {beef}",0.0197254702592781,0.10194429847609,1.94306623161308,194
"{beef} => {whole milk}",0.0212506354855109,0.405038759689922,1.58517954697588,209
"{curd} => {whipped/sour cream}",0.0104728012201322,0.196564885496183,2.74214985653186,103
"{whipped/sour cream} => {curd}",0.0104728012201322,0.146099290780142,2.74214985653186,103
"{curd} => {tropical fruit}",0.0102694458566345,0.192748091603053,1.83689678383336,101
"{curd} => {root vegetables}",0.0108795119471276,0.204198473282443,1.87340670217614,107
"{curd} => {yogurt}",0.0172852058973055,0.324427480916031,2.32561536064808,170
"{yogurt} => {curd}",0.0172852058973055,0.123906705539359,2.32561536064808,170
"{curd} => {rolls/buns}",0.0100660904931368,0.188931297709924,1.02716379932399,99
"{curd} => {other vegetables}",0.0171835282155567,0.322519083969466,1.66682879182328,169
"{curd} => {whole milk}",0.026131164209456,0.490458015267176,1.91948053328797,257
"{whole milk} => {curd}",0.026131164209456,0.102268205332272,1.91948053328797,257
"{napkins} => {tropical fruit}",0.0100660904931368,0.192233009708738,1.83198803341612,99
"{napkins} => {soda}",0.011997966446365,0.229126213592233,1.31396869427383,118
"{napkins} => {yogurt}",0.0123029994916116,0.23495145631068,1.68421834753319,121
"{napkins} => {rolls/buns}",0.0116929334011185,0.223300970873786,1.21402158570685,115
"{napkins} => {other vegetables}",0.0144382308083376,0.275728155339806,1.4250059946227,142
"{napkins} => {whole milk}",0.0197254702592781,0.376699029126214,1.47426778808448,194
"{pork} => {root vegetables}",0.0136248093543467,0.236331569664903,2.16820987654321,134
"{root vegetables} => {pork}",0.0136248093543467,0.125,2.16820987654321,134
"{pork} => {soda}",0.0118962887646162,0.206349206349206,1.18334953028831,117
"{pork} => {rolls/buns}",0.011286222674123,0.195767195767196,1.06432856294658,111
"{pork} => {other vegetables}",0.0216573462125064,0.375661375661376,1.94147642124521,213
"{other vegetables} => {pork}",0.0216573462125064,0.111928533893852,1.94147642124521,213
"{pork} => {whole milk}",0.0221657346212506,0.384479717813051,1.5047186727781,218
"{frankfurter} => {sausage}",0.0100660904931368,0.170689655172414,1.81681034482759,99
"{sausage} => {frankfurter}",0.0100660904931368,0.107142857142857,1.81681034482759,99
"{frankfurter} => {root vegetables}",0.0101677681748856,0.172413793103448,1.5818000514668,100
"{frankfurter} => {soda}",0.011286222674123,0.191379310344828,1.09750175932442,111
"{frankfurter} => {yogurt}",0.0111845449923742,0.189655172413793,1.35951794510908,110
"{frankfurter} => {rolls/buns}",0.0192170818505338,0.325862068965517,1.77161605764282,189
"{rolls/buns} => {frankfurter}",0.0192170818505338,0.104477611940299,1.77161605764282,189
"{frankfurter} => {other vegetables}",0.0164717844433147,0.279310344827586,1.44351930708319,162
"{frankfurter} => {whole milk}",0.0205388917132689,0.348275862068965,1.36302948804149,202
"{bottled beer} => {bottled water}",0.0157600406710727,0.195707070707071,1.77072588813619,155
"{bottled water} => {bottled beer}",0.0157600406710727,0.142594296228151,1.77072588813619,155
"{bottled beer} => {soda}",0.016980172852059,0.210858585858586,1.2092094413523,167
"{bottled beer} => {rolls/buns}",0.0136248093543467,0.169191919191919,0.919846614291059,134
"{bottled beer} => {other vegetables}",0.0161667513980681,0.200757575757576,1.03754637812704,159
"{bottled beer} => {whole milk}",0.0204372140315201,0.253787878787879,0.993236684392673,201
"{brown bread} => {sausage}",0.0106761565836299,0.164576802507837,1.75174551154175,105
"{sausage} => {brown bread}",0.0106761565836299,0.113636363636364,1.75174551154175,105
"{brown bread} => {tropical fruit}",0.0106761565836299,0.164576802507837,1.56842330684552,105
"{tropical fruit} => {brown bread}",0.0106761565836299,0.101744186046512,1.56842330684552,105
"{brown bread} => {root vegetables}",0.0101677681748856,0.156739811912226,1.438000046788,100
"{brown bread} => {soda}",0.0126080325368582,0.19435736677116,1.11458000127951,124
"{brown bread} => {yogurt}",0.0145399084900864,0.224137931034483,1.606703026038,143
"{yogurt} => {brown bread}",0.0145399084900864,0.104227405247813,1.606703026038,143
"{brown bread} => {rolls/buns}",0.0126080325368582,0.19435736677116,1.05666373808422,124
"{brown bread} => {other vegetables}",0.0187086934417895,0.288401253918495,1.49050253930026,184
"{brown bread} => {whole milk}",0.0252160650737163,0.38871473354232,1.5212930379581,248
"{margarine} => {bottled water}",0.0102694458566345,0.175347222222222,1.58651327558009,101
"{margarine} => {root vegetables}",0.0110828673106253,0.189236111111111,1.73613540371061,109
"{root vegetables} => {margarine}",0.0110828673106253,0.101679104477612,1.73613540371061,109
"{margarine} => {soda}",0.0101677681748856,0.173611111111111,0.995606575963719,100
"{margarine} => {yogurt}",0.0142348754448399,0.243055555555556,1.74231150793651,140
"{yogurt} => {margarine}",0.0142348754448399,0.102040816326531,1.74231150793651,140
"{margarine} => {rolls/buns}",0.0147432638535841,0.251736111111111,1.36861506510657,145
"{margarine} => {other vegetables}",0.0197254702592781,0.336805555555556,1.74066349915338,194
"{other vegetables} => {margarine}",0.0197254702592781,0.10194429847609,1.74066349915338,194
"{margarine} => {whole milk}",0.0241992882562278,0.413194444444444,1.61709803466419,238
"{butter} => {whipped/sour cream}",0.0101677681748856,0.18348623853211,2.55969809356497,100
"{whipped/sour cream} => {butter}",0.0101677681748856,0.141843971631206,2.55969809356497,100
"{butter} => {root vegetables}",0.0129130655821047,0.23302752293578,2.13789709708339,127
"{root vegetables} => {butter}",0.0129130655821047,0.118470149253731,2.13789709708339,127
"{butter} => {yogurt}",0.0146415861718353,0.264220183486239,1.89402733570492,144
"{yogurt} => {butter}",0.0146415861718353,0.104956268221574,1.89402733570492,144
"{butter} => {rolls/buns}",0.013421453990849,0.242201834862385,1.31678001430158,132
"{butter} => {other vegetables}",0.0200305033045247,0.361467889908257,1.86812227916327,197
"{other vegetables} => {butter}",0.0200305033045247,0.103520756699947,1.86812227916327,197
"{butter} => {whole milk}",0.02755465175394,0.497247706422018,1.94605300145665,271
"{whole milk} => {butter}",0.02755465175394,0.107839235972941,1.94605300145665,271
"{newspapers} => {bottled water}",0.011286222674123,0.14140127388535,1.27937583133617,111
"{bottled water} => {newspapers}",0.011286222674123,0.102115915363385,1.27937583133617,111
"{newspapers} => {tropical fruit}",0.0117946110828673,0.147770700636943,1.4082605046166,116
"{tropical fruit} => {newspapers}",0.0117946110828673,0.112403100775194,1.4082605046166,116
"{newspapers} => {root vegetables}",0.0114895780376207,0.143949044585987,1.32065191558133,113
"{root vegetables} => {newspapers}",0.0114895780376207,0.105410447761194,1.32065191558133,113
"{newspapers} => {soda}",0.0146415861718353,0.18343949044586,1.05196932276095,144
"{newspapers} => {yogurt}",0.0153533299440773,0.192356687898089,1.37888340049396,151
"{yogurt} => {newspapers}",0.0153533299440773,0.110058309037901,1.37888340049396,151
"{newspapers} => {rolls/buns}",0.0197254702592781,0.247133757961783,1.34359342706144,194
"{rolls/buns} => {newspapers}",0.0197254702592781,0.107241569928137,1.34359342706144,194
"{newspapers} => {other vegetables}",0.0193187595322827,0.24203821656051,1.25089115074756,190
"{newspapers} => {whole milk}",0.0273512963904423,0.342675159235669,1.34111030285826,269
"{whole milk} => {newspapers}",0.0273512963904423,0.107043374452845,1.34111030285826,269
"{domestic eggs} => {citrus fruit}",0.0103711235383833,0.163461538461538,1.97499291249291,102
"{citrus fruit} => {domestic eggs}",0.0103711235383833,0.125307125307125,1.97499291249291,102
"{domestic eggs} => {tropical fruit}",0.0113879003558719,0.179487179487179,1.71051977738024,112
"{tropical fruit} => {domestic eggs}",0.0113879003558719,0.108527131782946,1.71051977738024,112
"{domestic eggs} => {root vegetables}",0.0143365531265887,0.225961538461538,2.07307064437428,141
"{root vegetables} => {domestic eggs}",0.0143365531265887,0.131529850746269,2.07307064437428,141
"{domestic eggs} => {soda}",0.0124046771733604,0.195512820512821,1.1212061747776,122
"{domestic eggs} => {yogurt}",0.0143365531265887,0.225961538461538,1.61977531397174,141
"{yogurt} => {domestic eggs}",0.0143365531265887,0.102769679300292,1.61977531397174,141
"{domestic eggs} => {rolls/buns}",0.0156583629893238,0.246794871794872,1.34175100282065,154
"{domestic eggs} => {other vegetables}",0.0222674123029995,0.350961538461538,1.81382382068798,219
"{other vegetables} => {domestic eggs}",0.0222674123029995,0.115081450341566,1.81382382068798,219
"{domestic eggs} => {whole milk}",0.0299949161159126,0.47275641025641,1.85020266409542,295
"{whole milk} => {domestic eggs}",0.0299949161159126,0.117389574214087,1.85020266409542,295
"{fruit/vegetable juice} => {citrus fruit}",0.0103711235383833,0.143459915611814,1.73332711307395,102
"{citrus fruit} => {fruit/vegetable juice}",0.0103711235383833,0.125307125307125,1.73332711307395,102
"{fruit/vegetable juice} => {shopping bags}",0.0106761565836299,0.147679324894515,1.4988918063339,105
"{shopping bags} => {fruit/vegetable juice}",0.0106761565836299,0.108359133126935,1.4988918063339,105
"{fruit/vegetable juice} => {sausage}",0.0100660904931368,0.139240506329114,1.48206751054852,99
"{sausage} => {fruit/vegetable juice}",0.0100660904931368,0.107142857142857,1.48206751054852,99
"{fruit/vegetable juice} => {bottled water}",0.0142348754448399,0.19690576652602,1.78157149382098,140
"{bottled water} => {fruit/vegetable juice}",0.0142348754448399,0.128794848206072,1.78157149382098,140
"{fruit/vegetable juice} => {tropical fruit}",0.0137264870360956,0.189873417721519,1.80950103032087,135
"{tropical fruit} => {fruit/vegetable juice}",0.0137264870360956,0.130813953488372,1.80950103032087,135
"{fruit/vegetable juice} => {root vegetables}",0.011997966446365,0.165963431786217,1.52262159665806,118
"{root vegetables} => {fruit/vegetable juice}",0.011997966446365,0.110074626865672,1.52262159665806,118
"{fruit/vegetable juice} => {soda}",0.018403660396543,0.254571026722925,1.45988690834984,181
"{soda} => {fruit/vegetable juice}",0.018403660396543,0.105539358600583,1.45988690834984,181
"{fruit/vegetable juice} => {yogurt}",0.0187086934417895,0.258790436005626,1.85510491116278,184
"{yogurt} => {fruit/vegetable juice}",0.0187086934417895,0.134110787172012,1.85510491116278,184
"{fruit/vegetable juice} => {rolls/buns}",0.0145399084900864,0.20112517580872,1.09345832176825,143
"{fruit/vegetable juice} => {other vegetables}",0.0210472801220132,0.291139240506329,1.50465287986324,207
"{other vegetables} => {fruit/vegetable juice}",0.0210472801220132,0.108775617446138,1.50465287986324,207
"{fruit/vegetable juice} => {whole milk}",0.0266395526182003,0.368495077355837,1.44216040023663,262
"{whole milk} => {fruit/vegetable juice}",0.0266395526182003,0.104257859132511,1.44216040023663,262
"{whipped/sour cream} => {citrus fruit}",0.0108795119471276,0.15177304964539,1.83376897206684,107
"{citrus fruit} => {whipped/sour cream}",0.0108795119471276,0.131449631449631,1.83376897206684,107
"{whipped/sour cream} => {tropical fruit}",0.0138281647178444,0.19290780141844,1.8384188245643,136
"{tropical fruit} => {whipped/sour cream}",0.0138281647178444,0.131782945736434,1.8384188245643,136
"{whipped/sour cream} => {root vegetables}",0.0170818505338078,0.238297872340426,2.18624960304859,168
"{root vegetables} => {whipped/sour cream}",0.0170818505338078,0.156716417910448,2.18624960304859,168
"{whipped/sour cream} => {soda}",0.0115912557193696,0.161702127659574,0.927312201476335,114
"{whipped/sour cream} => {yogurt}",0.0207422470767667,0.28936170212766,2.07425097698654,204
"{yogurt} => {whipped/sour cream}",0.0207422470767667,0.14868804664723,2.07425097698654,204
"{whipped/sour cream} => {rolls/buns}",0.0146415861718353,0.204255319148936,1.11047598885008,144
"{whipped/sour cream} => {other vegetables}",0.0288764616166751,0.402836879432624,2.08192365171827,284
"{other vegetables} => {whipped/sour cream}",0.0288764616166751,0.149238045191802,2.08192365171826,284
"{whipped/sour cream} => {whole milk}",0.0322318251143874,0.449645390070922,1.75975424247812,317
"{whole milk} => {whipped/sour cream}",0.0322318251143874,0.126144050935137,1.75975424247812,317
"{pip fruit} => {pastry}",0.0106761565836299,0.141129032258065,1.58629032258065,105
"{pastry} => {pip fruit}",0.0106761565836299,0.12,1.58629032258065,105
"{pip fruit} => {citrus fruit}",0.0138281647178444,0.182795698924731,2.20859422472326,136
"{citrus fruit} => {pip fruit}",0.0138281647178444,0.167076167076167,2.20859422472326,136
"{pip fruit} => {sausage}",0.0107778342653787,0.14247311827957,1.5164752362333,106
"{sausage} => {pip fruit}",0.0107778342653787,0.114718614718615,1.5164752362333,106
"{pip fruit} => {bottled water}",0.010574478901881,0.139784946236559,1.26475156047522,104
"{pip fruit} => {tropical fruit}",0.0204372140315201,0.270161290322581,2.57464756814204,201
"{tropical fruit} => {pip fruit}",0.0204372140315201,0.194767441860465,2.57464756814204,201
"{pip fruit} => {root vegetables}",0.015556685307575,0.205645161290323,1.886679254935,153
"{root vegetables} => {pip fruit}",0.015556685307575,0.142723880597015,1.886679254935,153
"{pip fruit} => {soda}",0.0133197763091002,0.176075268817204,1.00973776607417,131
"{pip fruit} => {yogurt}",0.0179969496695475,0.237903225806452,1.70537771560237,177
"{yogurt} => {pip fruit}",0.0179969496695475,0.129008746355685,1.70537771560237,177
"{pip fruit} => {rolls/buns}",0.0139298423995933,0.184139784946237,1.00111375618919,137
"{pip fruit} => {other vegetables}",0.026131164209456,0.345430107526882,1.78523652523746,257
"{other vegetables} => {pip fruit}",0.026131164209456,0.135049921177089,1.78523652523746,257
"{pip fruit} => {whole milk}",0.0300965937976614,0.397849462365591,1.55704316051158,296
"{whole milk} => {pip fruit}",0.0300965937976614,0.117787504974134,1.55704316051158,296
"{pastry} => {shopping bags}",0.0118962887646162,0.133714285714286,1.35715170278638,117
"{shopping bags} => {pastry}",0.0118962887646162,0.120743034055728,1.35715170278638,117
"{pastry} => {sausage}",0.0125063548551093,0.140571428571429,1.49623376623377,123
"{sausage} => {pastry}",0.0125063548551093,0.133116883116883,1.49623376623377,123
"{pastry} => {tropical fruit}",0.0132180986273513,0.148571428571429,1.41589147286822,130
"{tropical fruit} => {pastry}",0.0132180986273513,0.125968992248062,1.41589147286822,130
"{pastry} => {root vegetables}",0.0109811896288765,0.123428571428571,1.13238805970149,108
"{root vegetables} => {pastry}",0.0109811896288765,0.100746268656716,1.13238805970149,108
